sku,current_price,current_inventory,asin
102025-InfOrnament-18-Red1-FBA,24.95,0,B0CNS8WSSB
102025-InfOrnament-18-Silver,25.95,258,B09LJRJTBL
102025-InfOrnament-18-Silver-FBA,25.95,0,B09LJRJTBL
102025-InfOrnament-18-White,25.95,551,B09LJ3V8QB
102025-InfOrnament-18-White-FBA,25.95,0,B09LJ3V8QB
102026-InfOrnament-25-Blue,29.95,420,B09LJPW8YB
102026-InfOrnament-25-Blue-FBA,29.95,0,B09LJPW8YB
102026-InfOrnament-25-Gold,29.95,549,B09LJRDP3V
102026-InfOrnament-25-Gold-FBA,29.95,0,B09LJRDP3V
102026-InfOrnament-25-Green,29.95,862,B09LJ26QWY
102026-InfOrnament-25-Green-FBA,29.95,0,B09LJ26QWY
102026-InfOrnament-25-Pink,29.95,506,B09LJMVCHN
102026-InfOrnament-25-Pink-FBA,29.95,0,B09LJMVCHN
102026-InfOrnament-25-Purple,29.95,759,B09LJRR3W3
102026-InfOrnament-25-Purple-FBA,29.95,0,B09LJRR3W3
102026-InfOrnament-25-Red,33.95,1131,B09LJ3CHLC
102026-InfOrnament-25-Red-FBA,33.95,0,B09LJ3CHLC
102026-InfOrnament-25-Silver1,29.95,823,B0DLPYBF5K
102026-InfOrnament-25-White,29.95,198,B09LJL5NDF
102026-InfOrnament-25-White-FBA,29.95,0,B09LJL5NDF
102027-InfOrnament-15-Blue,19.95,179,B0B69PCTCM
102027-InfOrnament-15-Blue-FBA,19.95,0,B0B69PCTCM
102027-InfOrnament-15-Gold,19.95,104,B0B69NPJ8Y
102027-InfOrnament-15-Gold-FBA,19.95,0,B0B69NPJ8Y
102027-InfOrnament-15-Green1,19.95,326,B0DLPYRQBN
102027-InfOrnament-15-Green1-FBA,19.95,0,B0DLPYRQBN
102027-InfOrnament-15-Pink,19.95,94,B0B69N641P
102027-InfOrnament-15-Pink-FBA,19.95,0,B0B69N641P
102027-InfOrnament-15-Purple,19.95,68,B0B69LVBXR
102027-InfOrnament-15-Purple-FBA,19.95,0,B0B69LVBXR
102027-InfOrnament-15-Red,19.95,707,B0B69MHCXY
102027-InfOrnament-15-Red-FBA,19.95,0,B0B69MHCXY
102027-InfOrnament-15-Silver,19.95,179,B0B69MZQ51
102027-InfOrnament-15-Silver-FBA,19.95,0,B0B69MZQ51
102027-InfOrnament-15-White,19.95,334,B0B69XFWP9
102028-InfOrnament-30-Blue,38.95,166,B0B69MCX15
102028-InfOrnament-30-Blue-FBA,38.95,0,B0B69MCX15
102028-InfOrnament-30-Gold,38.95,166,B0B69M9RXV
102028-InfOrnament-30-Gold-FBA,38.95,0,B0B69M9RXV
102028-InfOrnament-30-Green,38.95,360,B0B69MJLSS
102028-InfOrnament-30-Green-FBA,38.95,0,B0B69MJLSS
102028-InfOrnament-30-Pink,38.95,48,B0B6B6WJMV
102028-InfOrnament-30-Pink-FBA,38.95,0,B0B6B6WJMV
102028-InfOrnament-30-Purple,38.95,76,B0B69PFZ2N
102028-InfOrnament-30-Purple-FBA,38.95,0,B0B69PFZ2N
102028-InfOrnament-30-Red,38.95,472,B0B6B4NSM6
102028-InfOrnament-30-Red-FBA,38.95,0,B0B6B4NSM6
102028-InfOrnament-30-Silver,38.95,271,B0B69N6TZR
102028-InfOrnament-30-Silver-FBA,38.95,0,B0B69N6TZR
102028-InfOrnament-30-White,38.95,350,B0B69MYRF3
102028-InfOrnament-30-White-FBA,38.95,0,B0B69MYRF3
103001-BertShoes-10,29.95,27,B0BFM3FZV1
103001-BertShoes-11,29.95,21,B0BFM2CFSB
103001-BertShoes-12,29.95,19,B0BFM3Y351
103001-BertShoes-6,29.95,27,B0BFM8CQ5G
103001-BertShoes-7,29.95,34,B0BFM4DJMK
103001-BertShoes-8,29.95,34,B0BFM88JSY
103001-BertShoes-9,29.95,33,B0BFM3PP2R
103002-ErnieShoes-10,17.95,232,B0BFM2Z611
103002-ErnieShoes-11,17.95,215,B0BFM23SHV
103002-ErnieShoes-12,17.95,140,B0BFM5R2K1
103002-ErnieShoes-6,17.95,36,B0BFM3MTHW
103002-ErnieShoes-7,17.95,34,B0BFM46BBZ
103002-ErnieShoes-8,17.95,45,B0BFM521H5
103002-ErnieShoes-9,17.95,173,B0BFM42NXJ
103003-CBSlippers-10-11,24.95,175,B0B8KS7BJS
103003-CBSlippers-12-13,24.95,52,B0B8L37PYB
103003-CBSlippers-8-9,24.95,159,B0B8L93KW2
103004-RockyWhiteBoots-L,39.95,115,B0BCXHR91R
103004-RockyWhiteBoots-M,39.95,79,B0BCXK3GHP
103004-RockyWhiteBoots-S,39.95,13,B0BCXJCK91
103004-RockyWhiteBoots-XL,39.95,21,B0BCXGZ4CS
103005-RenaissanceBoots-L,46.95,40,B0BGYQSHHG
103005-RenaissanceBoots-M,46.95,34,B0BGYMNX4S
103005-RenaissanceBoots-S,46.95,12,B0BGYPDPCG
103005-RenaissanceBoots-XL,46.95,32,B0BGYQH27Z
103007-WrestlingBoots-L,47.95,41,B0BCXMYWXH
103007-WrestlingBoots-M,47.95,15,B0BCXJ8D1J
103007-WrestlingBoots-S,47.95,13,B0BCXKTQG9
103007-WrestlingBoots-XL,47.95,20,B0BCXN55QY
103008-ElfShoes-10-11,43.95,383,B0BHZS7V1W
103008-ElfShoes-12-13,43.95,361,B0BHZWFS49
103008-ElfShoes-14-15,43.95,21,B0D15183XM
103008-ElfShoes-6-7,43.95,142,B0BHZVFLQ7
103008-ElfShoes-8-9,43.95,201,B0BHZV94L5
103009-PirateBoots-12-13,64.95,23,B0BCXNNJBZ
103009-PirateBoots-14,64.95,44,B0BCXMDLL7
103009-PirateBoots-8-9,64.95,1,B0BCXLRXSN
103010-RiddlerBoots-10-11,22.95,182,B0BCYD8DKY
103010-RiddlerBoots-12-13,22.95,193,B0BCXHG2ZF
103010-RiddlerBoots-14,22.95,124,B0BCXHY8R6
103010-RiddlerBoots-8-9,22.95,76,B0C6FR1BYN
103011-ChuckyKidsShoes-11-12,33.95,53,B0BG99C7LZ
103011-ChuckyKidsShoes-5-6,29.95,93,B0BG98CDXN
103011-ChuckyKidsShoes-7-8,33.95,80,B0BG9LLYDF
103011-ChuckyKidsShoes-9-10,33.95,93,B0BG98W625
103012-MooseMug-1pack,14.95,1931,B0BGMJGPXX
103012-MooseMug-2pack,28.95,1437,B0BGMJJXV9
103012-MooseMug-4pack,54.95,531,B0BGMHZZBM
103012-MooseMug-FBA-1pack,14.95,0,B0BGMJGPXX
103013-TmntEyeMask-Red,5.95,3,B0BBHFY1QL
103014-RaccoonPoliceHat,19.95,188,B0BGYRCHMQ
103015-BabyCarlosDollGlasses,29.95,1201,B0BGMZRRYL
103015-BabyCarlosDollGlasses-FBA,29.95,0,B0BGMZRRYL
103017-SpacePrincess-10-11,24.95,51,B0CKY4KHK8
103017-SpacePrincess-6-7,24.95,121,B0CKY46CDX
103017-SpacePrincess-8-9,24.95,151,B0CKY2JBJJ
103018-CousinEddieOrangeHose,14.95,2056,B0BGV7FJ8Q
